2025-01-29 23:46:20,987 - INFO - Starting net generation
2025-01-29 23:46:20,987 - INFO - Starting geometry calculation
2025-01-29 23:46:20,987 - INFO - Output path: ./elipticalprism_net_export.pdf
2025-01-29 23:46:20,990 - DEBUG - Perimeter calculated: 53.69760360191275
2025-01-29 23:46:20,991 - INFO - Creating plot
2025-01-29 23:46:20,992 - DEBUG - Loaded backend agg version v2.2.
2025-01-29 23:46:20,999 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
2025-01-29 23:46:20,999 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-29 23:46:20,999 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-29 23:46:21,000 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansDisplay.ttf', name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-29 23:46:21,000 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/cmex10.ttf', name='cmex10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-29 23:46:21,000 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-29 23:46:21,000 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-01-29 23:46:21,000 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizTwoSymBol.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-01-29 23:46:21,000 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFourSymReg.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-29 23:46:21,001 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/UbuntuMono-BI.ttf', name='Ubuntu Mono', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-01-29 23:46:21,001 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/dejavu/DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-29 23:46:21,001 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/Inconsolata-Bold.ttf', name='Inconsolata', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-01-29 23:46:21,001 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/Ubuntu-M.ttf', name='Ubuntu', style='normal', variant='normal', weight=500, stretch='normal', size='scalable')) = 10.145
2025-01-29 23:46:21,001 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/SourceCodePro-ExtraLight.ttf', name='Source Code Pro', style='normal', variant='normal', weight=200, stretch='normal', size='scalable')) = 10.24
2025-01-29 23:46:21,001 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/Inconsolata-Regular.ttf', name='Inconsolata', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-29 23:46:21,001 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/SourceCodePro-Medium.ttf', name='Source Code Pro', style='normal', variant='normal', weight=500, stretch='normal', size='scalable')) = 10.145
2025-01-29 23:46:21,001 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/Ubuntu-Th.ttf', name='Ubuntu', style='normal', variant='normal', weight=250, stretch='normal', size='scalable')) = 10.1925
2025-01-29 23:46:21,002 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/SourceCodePro-It.ttf', name='Source Code Pro', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-01-29 23:46:21,002 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/dejavu/DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-29 23:46:21,002 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/UbuntuMono-RI.ttf', name='Ubuntu Mono', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-01-29 23:46:21,002 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/SourceCodePro-LightIt.ttf', name='Source Code Pro', style='italic', variant='normal', weight=300, stretch='normal', size='scalable')) = 11.145
2025-01-29 23:46:21,002 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/dejavu/DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-01-29 23:46:21,002 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/SourceCodePro-MediumIt.ttf', name='Source Code Pro', style='italic', variant='normal', weight=500, stretch='normal', size='scalable')) = 11.145
2025-01-29 23:46:21,002 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/dejavu/DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-01-29 23:46:21,003 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/SourceCodePro-Light.ttf', name='Source Code Pro', style='normal', variant='normal', weight=300, stretch='normal', size='scalable')) = 10.145
2025-01-29 23:46:21,003 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/Ubuntu-L.ttf', name='Ubuntu', style='normal', variant='normal', weight=300, stretch='normal', size='scalable')) = 10.145
2025-01-29 23:46:21,003 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/Ubuntu-C.ttf', name='Ubuntu Condensed', style='normal', variant='normal', weight=400, stretch='condensed', size='scalable')) = 10.25
2025-01-29 23:46:21,003 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/Ubuntu-RI.ttf', name='Ubuntu', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-01-29 23:46:21,003 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/SourceCodePro-SemiboldIt.ttf', name='Source Code Pro', style='italic', variant='normal', weight=600, stretch='normal', size='scalable')) = 11.24
2025-01-29 23:46:21,003 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/dejavu/DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
2025-01-29 23:46:21,004 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/UbuntuMono-B.ttf', name='Ubuntu Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-01-29 23:46:21,004 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/SourceCodePro-Regular.ttf', name='Source Code Pro', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-29 23:46:21,004 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/SourceCodePro-Black.ttf', name='Source Code Pro', style='normal', variant='normal', weight=900, stretch='normal', size='scalable')) = 10.525
2025-01-29 23:46:21,004 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/SourceCodePro-Semibold.ttf', name='Source Code Pro', style='normal', variant='normal', weight=600, stretch='normal', size='scalable')) = 10.24
2025-01-29 23:46:21,004 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/SourceCodePro-ExtraLightIt.ttf', name='Source Code Pro', style='italic', variant='normal', weight=200, stretch='normal', size='scalable')) = 11.24
2025-01-29 23:46:21,004 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/Ubuntu-MI.ttf', name='Ubuntu', style='italic', variant='normal', weight=500, stretch='normal', size='scalable')) = 11.145
2025-01-29 23:46:21,004 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
2025-01-29 23:46:21,005 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/Ubuntu-R.ttf', name='Ubuntu', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-29 23:46:21,005 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/SourceCodePro-BoldIt.ttf', name='Source Code Pro', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-01-29 23:46:21,005 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/Ubuntu-LI.ttf', name='Ubuntu', style='italic', variant='normal', weight=300, stretch='normal', size='scalable')) = 11.145
2025-01-29 23:46:21,005 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/fonts/UbuntuMono-R.ttf', name='Ubuntu Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
